Alabama,USA,North America
Austria,Austria,Other
BC,Canada,North America
Chelyabinsk,Russia,Other
Connecticut,USA,North America
Croatia,Croatia,Other
Czech_Republic,Czech Republic,Other
Delaware,USA,North America
Denmark,Denmark,Other
England,UK,Other
Estonia,Estonia,Other
Finland,Finland,Other
Florida,USA,North America
France,France,Other
Georgia,USA,North America
Germany-BB,Germany,Other
Germany-MV,Germany,Other
Germany-NI,Germany,Other
Germany-SH,Germany,Other
Iceland,Iceland,Other
Indiana,USA,North America
Iowa,USA,North America
Ireland,Ireland,Other
Italy,Italy,Other
Kansas,USA,North America
Kentucky,USA,North America
Kirov,Russia,Other
Latvia,Latvia,Other
MA,USA,North America
MD,USA,North America
Maine,USA,North America
Maryland,USA,North America
Massachusetts,USA,North America
Michigan,USA,North America
Missouri,USA,North America
NB,Canada,North America
NL,Canada,North America
NS,Canada,North America
Netherlands,Netherlands,Other
New_Hampshire,USA,North America
New_Jersey,USA,North America
New_York,USA,North America
North_Carolina,USA,North America
Northern_Ireland,UK,Other
Ohio,USA,North America
PE,Canada,North America
Parnu,Estonia,Other
Poland,Poland,Other
Samara,Russia,Other
Scotland,UK,Other
Slovenia,Slovenia,Other
South_Carolina,USA,North America
South_Dakota,USA,North America
Sweden,Sweden,Other
Tennessee,USA,North America
Tyumen,Russia,Other
USA,USA,North America
Virginia,USA,North America
Wales,UK,Other
