name,country,region
A/American_Black_Duck/Connecticut/USDA-005000-001/2022|2.3.4.4b|2022-02-06,USA,North America
A/American_Black_Duck/Connecticut/USDA-005313-006/2022|2.3.4.4b|2022-02-16,USA,North America
A/American_Black_Duck/Connecticut/USDA-005313-007/2022|2.3.4.4b|2022-02-16,USA,North America
A/American_Black_Duck/Connecticut/USDA-005313-008/2022|2.3.4.4b|2022-02-16,USA,North America
A/American_Black_Duck/NL/OTH-0004-14/2021|2.3.4.4b|2021-12-24,Canada,North America
A/American_Black_Duck/NL/OTH-0004-16/2021|2.3.4.4b|2021-12-24,Canada,North America
A/American_Crow/NB/FAV-0117-1/2022|2.3.4.4b|2022-02-12,Canada,North America
A/American_Crow/NB/FAV-0117-4/2022|2.3.4.4b|2022-02-24,Canada,North America
A/American_Crow/NB/FAV-0118-1/2022|2.3.4.4b|2022-02-12,Canada,North America
A/American_Crow/NB/FAV-0118-3/2022|2.3.4.4b|2022-02-23,Canada,North America
A/American_Crow/NB/FAV-0131-1/2022|2.3.4.4b|2022-02-15,Canada,North America
A/American_Crow/NL/FAV-0092-1/2022|2.3.4.4b|2022-01-18,Canada,North America
A/American_Crow/NL/FAV-0114-3/2022|2.3.4.4b|2022-02-25,Canada,North America
A/American_Crow/PE/FAV-0109-1/2022|2.3.4.4b|2022-02-16,Canada,North America
A/American_Crow/PE/FAV-0116-1/2022|2.3.4.4b|2022-02-26,Canada,North America
A/American_Green-winged_Teal/Tennessee/USDA-005910-002/2022|2.3.4.4b|2022-02-12,USA,North America
A/American_White_Pelican/Missouri/USDA-006970-001/2022|2.3.4.4b|2022-02-28,USA,North America
A/American_Wigeon/Alabama/USDA-004941-003/2022|2.3.4.4b|2022-02-05,USA,North America
A/American_Wigeon/Delaware/USDA-003358-008/2022|2.3.4.4b|2022-01-26,USA,North America
A/American_Wigeon/North_Carolina/USDA-001329-001/2022|2.3.4.4b|2022-01-08,USA,North America
A/American_Wigeon/North_Carolina/USDA-001330-001/2022|2.3.4.4b|2022-01-08,USA,North America
A/American_Wigeon/North_Carolina/USDA-001330-009/2022|2.3.4.4b|2022-01-08,USA,North America
A/American_Wigeon/North_Carolina/USDA-001330-011/2022|2.3.4.4b|2022-01-08,USA,North America
A/American_Wigeon/North_Carolina/USDA-001330-012/2022|2.3.4.4b|2022-01-08,USA,North America
A/American_Wigeon/North_Carolina/USDA-001330-015/2022|2.3.4.4b|2022-01-08,USA,North America
A/American_Wigeon/North_Carolina/USDA-001330-017/2022|2.3.4.4b|2022-01-08,USA,North America
A/American_Wigeon/North_Carolina/USDA-001330-018/2022|2.3.4.4b|2022-01-08,USA,North America
